,K,acc,precision,recall,f1
0,100,0.6126373626373627,0.6867798193709125,0.6129828679904215,0.5703463649212972
1,100,0.5615384615384615,0.6302362252710001,0.5619364351363786,0.495609556871554
2,100,0.5170329670329671,0.5912967995169083,0.5175268899008452,0.3951478896643403
3,100,0.7478021978021978,0.7592171717171717,0.747917217627361,0.7450528416118881
4,100,0.6807692307692308,0.6843391038244904,0.680692163618118,0.6791573655719365
5,450,0.8060439560439561,0.8060627798791358,0.8060394952777385,0.8060392130105827
6,450,0.7362637362637363,0.7583308593105723,0.7364240265958539,0.7305952069630777
7,450,0.7703296703296704,0.773495738929584,0.770388564652294,0.7696888819999128
8,450,0.7961538461538461,0.8083260022621591,0.7962628864423216,0.794162773037951
9,450,0.6412087912087913,0.7383525142221932,0.6408575544711441,0.6001831448226769
10,800,0.7934065934065934,0.7938700738208679,0.7933846073959756,0.7933164922759468
11,800,0.8027472527472528,0.81385595279243,0.8026437660231446,0.80094873648541
12,800,0.7851648351648352,0.7855840298738488,0.7851857084720546,0.7850941817304384
13,800,0.7928571428571428,0.7971071829267695,0.7929227061015651,0.7921386897291114
14,800,0.7939560439560439,0.7979099064707005,0.794019193357316,0.7932940031637374
15,1150,0.7115384615384616,0.7871097842028074,0.7118200843135906,0.6913934128400365
16,1150,0.7197802197802198,0.773702814068389,0.7200238135778452,0.7054077763206503
17,1150,0.7423076923076923,0.7674343647444913,0.7424758392414434,0.736196912479668
18,1150,0.737912087912088,0.7917307692307692,0.7381478543024445,0.7253659272672401
19,1150,0.7785714285714286,0.7826173760098771,0.7786369745646354,0.7778034269518088
20,1500,0.8021978021978022,0.802900087261619,0.802224130206654,0.8020924076219795
21,1500,0.7730769230769231,0.7799800974334601,0.7731629913814653,0.7717067084502778
22,1500,0.7021978021978021,0.7500234902481913,0.7024377520079121,0.6873985924633919
23,1500,0.7906593406593406,0.7973836591716443,0.7907418074408978,0.7895011649350748
24,1500,0.7895604395604395,0.7914282867267133,0.7896042622923105,0.7892396924555212
25,1850,0.771978021978022,0.7900013384399966,0.7721148075290515,0.7684389634478159
26,1850,0.7505494505494505,0.77432674736493,0.750710965717867,0.7451046444335034
27,1850,0.7813186813186813,0.7905093501575085,0.7814162316341404,0.7796154314226604
28,1850,0.7802197802197802,0.7812804896524559,0.780253327198801,0.7800261309618055
29,1850,0.7521978021978022,0.7980235655094929,0.752413056892956,0.7423969244046918
30,2200,0.7824175824175824,0.7949872089226118,0.7825308326661427,0.7801210810652498
31,2200,0.7532967032967033,0.7533040126363992,0.7532994243441907,0.753296032986444
32,2200,0.7307692307692307,0.7909467386328554,0.731018875762439,0.7162272930922124
33,2200,0.8032967032967033,0.8180172768408063,0.8034148090989122,0.8010360441240956
34,2200,0.7076923076923077,0.7781077462935062,0.7079684916900033,0.6881136324982349
35,2550,0.7868131868131868,0.7974185682329422,0.7869167816891458,0.7849368052383128
36,2550,0.7598901098901099,0.7781062566836632,0.7600305035992073,0.7559587350749715
37,2550,0.7697802197802198,0.7863449555200263,0.7699121723368825,0.7664602238500406
38,2550,0.8082417582417583,0.8085589941972922,0.8082240166936563,0.8081861088185529
39,2550,0.7840659340659341,0.793227414330218,0.7841628839063928,0.7824052004201856
40,2900,0.760989010989011,0.7743623905595737,0.7611100846637902,0.7580969683747765
41,2900,0.7747252747252747,0.7848881967906727,0.7748288550040514,0.7727425003806914
42,2900,0.7978021978021979,0.8128849878059452,0.7979227121394905,0.7953804171824723
43,2900,0.8032967032967033,0.8119779113099607,0.8033882422270767,0.8019514270950485
44,2900,0.8241758241758241,0.8243286833168426,0.8241876877040064,0.8241586243793922
45,3250,0.8065934065934066,0.8107946026986507,0.806657175047911,0.8059598059598059
46,3250,0.7324175824175824,0.7752308782517259,0.7326340208115213,0.721710004329737
47,3250,0.7928571428571428,0.7928985507246377,0.7928635344324773,0.7928520773512455
48,3250,0.8065934065934066,0.8120006536116343,0.806665628143495,0.8057769709405191
49,3250,0.8071428571428572,0.8072792074423101,0.8071311521931557,0.8071171774771366
50,3600,0.8,0.8079050893659201,0.8000879121940734,0.7987400901185541
